gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,percentageFieldGoalsAttempted2pt,percentageFieldGoalsAttempted3pt,percentagePoints2pt,percentagePointsMidrange2pt,percentagePoints3pt,percentagePointsFastBreak,percentagePointsFreeThrow,percentagePointsOffTurnovers,percentagePointsPaint,percentageAssisted2pt,percentageUnassisted2pt,percentageAssisted3pt,percentageUnassisted3pt,percentageAssistedFGM,percentageUnassistedFGM
0042100212,1610612738,Boston,Celtics,BOS,celtics,240:00,0.463,0.538,0.33,0.11,0.55,0.055,0.119,0.22,0.22,0.556,0.444,0.9,0.1,0.737,0.263
0042100212,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,0.753,0.247,0.721,0.093,0.105,0.07,0.174,0.198,0.628,0.484,0.516,0.333,0.667,0.471,0.529
0042100212,1610612738,Boston,Celtics,BOS,celtics,240:00,0.463,0.538,0.33,0.11,0.55,0.055,0.119,0.22,0.22,0.556,0.444,0.9,0.1,0.737,0.263
0042100212,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,0.753,0.247,0.721,0.093,0.105,0.07,0.174,0.198,0.628,0.484,0.516,0.333,0.667,0.471,0.529
0042100213,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,0.657,0.343,0.602,0.097,0.262,0.204,0.136,0.107,0.505,0.355,0.645,1.0,0.0,0.5,0.5
0042100213,1610612738,Boston,Celtics,BOS,celtics,240:00,0.621,0.379,0.455,0.139,0.267,0.109,0.277,0.109,0.317,0.652,0.348,0.889,0.111,0.719,0.281
0042100213,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,0.657,0.343,0.602,0.097,0.262,0.204,0.136,0.107,0.505,0.355,0.645,1.0,0.0,0.5,0.5
0042100213,1610612738,Boston,Celtics,BOS,celtics,240:00,0.621,0.379,0.455,0.139,0.267,0.109,0.277,0.109,0.317,0.652,0.348,0.889,0.111,0.719,0.281
0042100214,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,0.713,0.287,0.556,0.074,0.25,0.12,0.194,0.157,0.481,0.333,0.667,0.889,0.111,0.462,0.538
0042100214,1610612738,Boston,Celtics,BOS,celtics,240:00,0.56,0.44,0.483,0.069,0.362,0.138,0.155,0.095,0.414,0.5,0.5,0.786,0.214,0.595,0.405
0042100214,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,0.713,0.287,0.556,0.074,0.25,0.12,0.194,0.157,0.481,0.333,0.667,0.889,0.111,0.462,0.538
0042100214,1610612738,Boston,Celtics,BOS,celtics,240:00,0.56,0.44,0.483,0.069,0.362,0.138,0.155,0.095,0.414,0.5,0.5,0.786,0.214,0.595,0.405
0042100215,1610612738,Boston,Celtics,BOS,celtics,240:00,0.622,0.378,0.598,0.131,0.28,0.14,0.121,0.121,0.467,0.625,0.375,0.5,0.5,0.595,0.405
0042100215,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,0.685,0.315,0.491,0.091,0.355,0.064,0.155,0.145,0.4,0.407,0.593,0.846,0.154,0.55,0.45
0042100215,1610612738,Boston,Celtics,BOS,celtics,240:00,0.622,0.378,0.598,0.131,0.28,0.14,0.121,0.121,0.467,0.625,0.375,0.5,0.5,0.595,0.405
0042100215,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,0.685,0.315,0.491,0.091,0.355,0.064,0.155,0.145,0.4,0.407,0.593,0.846,0.154,0.55,0.45
0042100216,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,0.67,0.33,0.611,0.105,0.221,0.158,0.168,0.105,0.505,0.414,0.586,0.429,0.571,0.417,0.583
0042100216,1610612738,Boston,Celtics,BOS,celtics,240:00,0.506,0.494,0.389,0.074,0.472,0.056,0.139,0.074,0.315,0.429,0.571,0.765,0.235,0.579,0.421
0042100216,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,0.67,0.33,0.611,0.105,0.221,0.158,0.168,0.105,0.505,0.414,0.586,0.429,0.571,0.417,0.583
0042100216,1610612738,Boston,Celtics,BOS,celtics,240:00,0.506,0.494,0.389,0.074,0.472,0.056,0.139,0.074,0.315,0.429,0.571,0.765,0.235,0.579,0.421
0042100217,1610612738,Boston,Celtics,BOS,celtics,240:00,0.375,0.625,0.275,0.037,0.606,0.073,0.119,0.101,0.239,0.6,0.4,0.909,0.091,0.784,0.216
0042100217,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,0.633,0.367,0.716,0.123,0.148,0.21,0.136,0.222,0.593,0.552,0.448,1.0,0.0,0.606,0.394
0042100217,1610612738,Boston,Celtics,BOS,celtics,240:00,0.375,0.625,0.275,0.037,0.606,0.073,0.119,0.101,0.239,0.6,0.4,0.909,0.091,0.784,0.216
0042100217,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,0.633,0.367,0.716,0.123,0.148,0.21,0.136,0.222,0.593,0.552,0.448,1.0,0.0,0.606,0.394
0042100221,1610612756,Phoenix,Suns,PHX,suns,240:00,0.692,0.308,0.579,0.264,0.273,0.091,0.149,0.083,0.314,0.543,0.457,0.727,0.273,0.587,0.413
0042100221,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,0.541,0.459,0.421,0.035,0.421,0.105,0.158,0.114,0.386,0.167,0.833,0.75,0.25,0.4,0.6
0042100221,1610612756,Phoenix,Suns,PHX,suns,240:00,0.692,0.308,0.579,0.264,0.273,0.091,0.149,0.083,0.314,0.543,0.457,0.727,0.273,0.587,0.413
0042100221,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,0.541,0.459,0.421,0.035,0.421,0.105,0.158,0.114,0.386,0.167,0.833,0.75,0.25,0.4,0.6
0042100222,1610612756,Phoenix,Suns,PHX,suns,240:00,0.671,0.329,0.558,0.171,0.302,0.039,0.14,0.163,0.388,0.472,0.528,0.846,0.154,0.571,0.429
0042100222,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,0.481,0.519,0.349,0.055,0.468,0.046,0.183,0.193,0.294,0.421,0.579,0.647,0.353,0.528,0.472
0042100222,1610612756,Phoenix,Suns,PHX,suns,240:00,0.671,0.329,0.558,0.171,0.302,0.039,0.14,0.163,0.388,0.472,0.528,0.846,0.154,0.571,0.429
0042100222,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,0.481,0.519,0.349,0.055,0.468,0.046,0.183,0.193,0.294,0.421,0.579,0.647,0.353,0.528,0.472
0042100223,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,0.567,0.433,0.524,0.039,0.379,0.058,0.097,0.214,0.485,0.519,0.481,0.846,0.154,0.625,0.375
0042100223,1610612756,Phoenix,Suns,PHX,suns,240:00,0.632,0.368,0.447,0.106,0.415,0.074,0.138,0.16,0.34,0.667,0.333,0.692,0.308,0.676,0.324
0042100223,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,0.567,0.433,0.524,0.039,0.379,0.058,0.097,0.214,0.485,0.519,0.481,0.846,0.154,0.625,0.375
0042100223,1610612756,Phoenix,Suns,PHX,suns,240:00,0.632,0.368,0.447,0.106,0.415,0.074,0.138,0.16,0.34,0.667,0.333,0.692,0.308,0.676,0.324
0042100224,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,0.482,0.518,0.324,0.036,0.541,0.054,0.135,0.207,0.288,0.222,0.778,0.9,0.1,0.579,0.421
0042100224,1610612756,Phoenix,Suns,PHX,suns,240:00,0.702,0.298,0.594,0.099,0.267,0.059,0.139,0.089,0.495,0.6,0.4,1.0,0.0,0.692,0.308
0042100224,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,0.482,0.518,0.324,0.036,0.541,0.054,0.135,0.207,0.288,0.222,0.778,0.9,0.1,0.579,0.421
0042100224,1610612756,Phoenix,Suns,PHX,suns,240:00,0.702,0.298,0.594,0.099,0.267,0.059,0.139,0.089,0.495,0.6,0.4,1.0,0.0,0.692,0.308
0042100225,1610612756,Phoenix,Suns,PHX,suns,240:00,0.632,0.368,0.564,0.164,0.327,0.1,0.109,0.218,0.4,0.613,0.387,0.75,0.25,0.651,0.349
0042100225,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,0.549,0.451,0.475,0.175,0.3,0.125,0.225,0.213,0.3,0.158,0.842,0.75,0.25,0.333,0.667
0042100225,1610612756,Phoenix,Suns,PHX,suns,240:00,0.632,0.368,0.564,0.164,0.327,0.1,0.109,0.218,0.4,0.613,0.387,0.75,0.25,0.651,0.349
0042100225,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,0.549,0.451,0.475,0.175,0.3,0.125,0.225,0.213,0.3,0.158,0.842,0.75,0.25,0.333,0.667
0042100226,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,0.494,0.506,0.336,0.035,0.425,0.186,0.239,0.257,0.301,0.421,0.579,0.625,0.375,0.514,0.486
0042100226,1610612756,Phoenix,Suns,PHX,suns,240:00,0.769,0.231,0.581,0.07,0.209,0.093,0.209,0.07,0.512,0.52,0.48,0.833,0.167,0.581,0.419
0042100226,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,0.494,0.506,0.336,0.035,0.425,0.186,0.239,0.257,0.301,0.421,0.579,0.625,0.375,0.514,0.486
0042100226,1610612756,Phoenix,Suns,PHX,suns,240:00,0.769,0.231,0.581,0.07,0.209,0.093,0.209,0.07,0.512,0.52,0.48,0.833,0.167,0.581,0.419
0042100227,1610612756,Phoenix,Suns,PHX,suns,240:00,0.609,0.391,0.467,0.044,0.4,0.1,0.133,0.144,0.422,0.619,0.381,0.75,0.25,0.667,0.333
0042100227,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,0.519,0.481,0.439,0.114,0.463,0.024,0.098,0.122,0.325,0.185,0.815,0.474,0.526,0.304,0.696
0042100227,1610612756,Phoenix,Suns,PHX,suns,240:00,0.609,0.391,0.467,0.044,0.4,0.1,0.133,0.144,0.422,0.619,0.381,0.75,0.25,0.667,0.333
0042100227,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,0.519,0.481,0.439,0.114,0.463,0.024,0.098,0.122,0.325,0.185,0.815,0.474,0.526,0.304,0.696
0042100231,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,0.579,0.421,0.431,0.052,0.414,0.147,0.155,0.224,0.379,0.52,0.48,0.813,0.188,0.634,0.366
0042100231,1610612744,Golden State,Warriors,GSW,warriors,240:00,0.591,0.409,0.53,0.051,0.359,0.154,0.111,0.205,0.479,0.581,0.419,0.929,0.071,0.689,0.311
0042100231,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,0.579,0.421,0.431,0.052,0.414,0.147,0.155,0.224,0.379,0.52,0.48,0.813,0.188,0.634,0.366
0042100231,1610612744,Golden State,Warriors,GSW,warriors,240:00,0.591,0.409,0.53,0.051,0.359,0.154,0.111,0.205,0.479,0.581,0.419,0.929,0.071,0.689,0.311
0042100232,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,0.505,0.495,0.415,0.019,0.396,0.17,0.189,0.142,0.396,0.364,0.636,0.643,0.357,0.472,0.528
0042100232,1610612744,Golden State,Warriors,GSW,warriors,240:00,0.6,0.4,0.653,0.059,0.208,0.099,0.139,0.119,0.594,0.636,0.364,0.857,0.143,0.675,0.325
